hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum,,,,,
true,01/01/17,1 Jan,1451606400000,00:00,Friday 1 1 2016 00:00 — 06:00,14,Partly cloudy.,9,8,1020,0,0,100,,,,,
,,,1451628000000,06:00,Friday 1 1 2016 06:00 — 12:00,9,Partly cloudy.,20,10,1022,2,340,78,,,,,
,,,1451649600000,12:00,Friday 1 1 2016 12:00 — 18:00,2,Broken clouds.,23,21,1020,2,340,50,,,,,
,,,1451671200000,18:00,Friday 1 1 2016 18:00 — 00:00,14,Partly cloudy.,11,11,1023,0,0,92,,,,,
true,02/01/17,2 Jan,1451692800000,00:00,Saturday 2 1 2016 00:00 — 06:00,14,Partly cloudy.,9,9,1022,0,0,97,,,,,
,,,1451714400000,06:00,Saturday 2 1 2016 06:00 — 12:00,9,Partly cloudy.,20,9,1023,0,0,76,,,,,
,,,1451736000000,12:00,Saturday 2 1 2016 12:00 — 18:00,3,Partly sunny.,22,20,1019,8,290,56,,,,,
,,,1451757600000,18:00,Saturday 2 1 2016 18:00 — 00:00,14,Partly cloudy.,13,10,1021,0,0,92,,,,,
true,03/01/17,3 Jan,1451779200000,00:00,Sunday 3 1 2016 00:00 — 06:00,14,Partly cloudy.,10,10,1019,2,270,100,,,,,
,,,1451800800000,06:00,Sunday 3 1 2016 06:00 — 12:00,9,Partly cloudy.,18,10,1020,8,270,82,,,,,
,,,1451822400000,12:00,Sunday 3 1 2016 12:00 — 18:00,2,Fog.,22,20,1016,9,290,50,,,,,
,,,1451844000000,18:00,Sunday 3 1 2016 18:00 — 00:00,13,Sprinkles. Mostly cloudy.,13,11,1018,2,270,90,,,,,
true,04/01/17,4 Jan,1451865600000,00:00,Monday 4 1 2016 00:00 — 06:00,14,Partly cloudy.,11,9,1018,0,0,94,,,,,
,,,1451887200000,06:00,Monday 4 1 2016 06:00 — 12:00,2,Broken clouds.,20,20,1010,0,0,62,,,,,
,,,1451908800000,12:00,Monday 4 1 2016 12:00 — 18:00,6,Sprinkles. Fog.,23,20,1017,0,0,62,,,,,
,,,1451930400000,18:00,Monday 4 1 2016 18:00 — 00:00,14,Partly cloudy.,15,15,1020,0,0,93,,,,,
true,05/01/17,5 Jan,1451952000000,00:00,Tuesday 5 1 2016 00:00 — 06:00,14,Partly cloudy.,13,13,1018,0,0,98,,,,,
