hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Mon, 1 Feb",1 Feb,1454306400000,06:00,"Monday, 1 2 2016, 06:00 — 12:00",9,Mild.,19,11,1019,8,270,76
,,,1454328000000,12:00,"Monday, 1 2 2016, 12:00 — 18:00",1,Clear.,22,20,1016,13,290,47
,,,1454349600000,18:00,"Monday, 1 2 2016, 18:00 — 00:00",14,Mild.,13,10,1018,0,0,89
true,"Tue, 2 Feb",2 Feb,1454371200000,00:00,"Tuesday, 2 2 2016, 00:00 — 06:00",14,Mild.,8,8,1018,0,0,95
,,,1454392800000,06:00,"Tuesday, 2 2 2016, 06:00 — 12:00",2,Partly cloudy.,20,20,1020,19,290,44
,,,1454414400000,12:00,"Tuesday, 2 2 2016, 12:00 — 18:00",3,Sunny.,21,19,1017,13,290,36
,,,1454436000000,18:00,"Tuesday, 2 2 2016, 18:00 — 00:00",14,Mild.,13,11,1019,0,0,72
true,"Wed, 3 Feb",3 Feb,1454457600000,00:00,"Wednesday, 3 2 2016, 00:00 — 06:00",14,Mild.,9,8,1018,0,0,88
,,,1454479200000,06:00,"Wednesday, 3 2 2016, 06:00 — 12:00",9,Icy mix. Overcast.,19,19,1019,9,290,21
,,,1454500800000,12:00,"Wednesday, 3 2 2016, 12:00 — 18:00",3,Sunny.,20,20,1016,13,290,39
,,,1454522400000,18:00,"Wednesday, 3 2 2016, 18:00 — 00:00",13,Overcast.,14,12,1018,6,270,77
true,"Thu, 4 Feb",4 Feb,1454544000000,00:00,"Thursday, 4 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1454565600000,06:00,"Thursday, 4 2 2016, 06:00 — 12:00",1,Clear.,20,20,1019,15,270,46
,,,1454587200000,12:00,"Thursday, 4 2 2016, 12:00 — 18:00",1,Clear.,23,21,1016,13,320,33
,,,1454608800000,18:00,"Thursday, 4 2 2016, 18:00 — 00:00",14,Mild.,13,11,1018,0,0,76
true,"Fri, 5 Feb",5 Feb,1454630400000,00:00,"Friday, 5 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
,,,1454652000000,06:00,"Friday, 5 2 2016, 06:00 — 12:00",9,Mild.,8,8,1019,0,0,91
,,,1454673600000,12:00,"Friday, 5 2 2016, 12:00 — 18:00",36,No weather data available,,,0,0,0,0
,,,1454695200000,18:00,"Friday, 5 2 2016, 18:00 — 00:00",14,Mild.,11,11,1015,0,0,85
true,"Sat, 6 Feb",6 Feb,1454716800000,00:00,"Saturday, 6 2 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
