date,weather,tempHigh,tempLow
1,Partly cloudy.,20,10
2,Partly cloudy.,20,9
3,Partly cloudy.,18,10
4,Broken clouds.,20,20
5,Partly cloudy.,23,12
6,Partly cloudy.,21,12
7,Snow flurries. Passing clouds.,20,14
8,Partly cloudy.,15,14
9,Partly cloudy.,19,11
10,Partly cloudy.,21,10
11,Partly cloudy.,22,10
12,Partly cloudy.,23,10
13,Snow flurries. Dense fog.,21,16
14,Partly cloudy.,16,14
15,Partly cloudy.,13,12
16,Partly cloudy.,12,12
17,Partly cloudy.,16,11
18,Partly cloudy.,17,8
19,Partly cloudy.,13,11
20,Partly cloudy.,12,11
21,Partly cloudy.,12,9
22,Partly cloudy.,14,8
23,Snow flurries. Passing clouds.,17,8
24,Partly cloudy.,11,8
25,Partly cloudy.,7,7
26,Partly cloudy.,15,10
27,Partly cloudy.,20,10
28,Partly cloudy.,20,10
29,Partly cloudy.,22,13
30,Thunderstorms. Fog.,23,23
31,Partly cloudy.,20,16
32,Clear.,22,20
33,Sunny.,21,19
34,Sunny.,20,20
35,Clear.,23,21
36,No weather data available,,
37,No weather data available,,
38,Light snow. Overcast.,21,20
39,Clear.,23,21
40,No weather data available,,
41,Clear.,26,24
42,Partly cloudy.,26,24
43,Partly cloudy.,26,24
44,Partly cloudy.,21,20
45,Clear.,24,23
46,Light snow. Overcast.,23,21
47,Sunny.,24,23
48,Clear.,24,24
49,Passing clouds.,23,21
50,Snow showers. Ice fog.,29,27
51,Fog.,28,26
52,Clear.,25,25
53,Partly cloudy.,27,26
54,Partly cloudy.,29,28
55,Rain showers. Fog.,30,28
56,Partly cloudy.,30,27
57,Partly cloudy.,30,29
58,Rain showers. Fog.,30,28
59,Rain showers. Fog.,30,27
60,Rain showers. Fog.,29,29
60,Rain. Overcast.,29,17
61,Scattered clouds.,29,17
62,No weather data available,,
63,,30,30
64,Sunny.,26,26
65,Scattered clouds.,24,17
66,Overcast.,28,28
67,Overcast.,26,26
68,Scattered clouds.,26,19
69,Overcast.,28,28
70,Scattered clouds.,28,21
71,Scattered clouds.,26,20
72,Overcast.,25,25
73,Light snow. Partly cloudy.,24,18
74,Sunny.,27,27
75,,27,27
76,Fog.,30,30
77,Scattered clouds.,22,22
78,Low clouds.,30,23
79,Scattered clouds.,29,22
80,Light rain. Overcast.,30,23
81,No weather data available,,
82,Overcast.,29,21
83,Low clouds.,33,33
84,Low clouds.,33,25
85,Fog.,27,27
86,,28,28
87,Partly cloudy.,29,22
88,No weather data available,,
89,No weather data available,,
90,No weather data available,,
91,Sprinkles. Low clouds.,37,36
92,Overcast.,39,37
93,Overcast.,39,37
94,Overcast.,38,37
95,Overcast.,35,34
96,Overcast.,36,35
97,Overcast.,35,35
98,Sprinkles. Low clouds.,34,34
99,Broken clouds.,36,36
100,Overcast.,36,35
101,Broken clouds.,35,34
102,Broken clouds.,34,34
103,Broken clouds.,38,37
104,Broken clouds.,39,38
105,Overcast.,39,39
106,Overcast.,42,41
107,Overcast.,40,39
108,Overcast.,39,39
109,Overcast.,40,39
110,Sprinkles. Low clouds.,38,38
111,Overcast.,38,38
112,No weather data available,,
113,Broken clouds.,36,36
114,Broken clouds.,37,36
115,Sprinkles. Low clouds.,39,37
116,Overcast.,40,37
117,Snow flurries. Overcast.,37,37
118,Light rain. Partly sunny.,40,39
119,Broken clouds.,40,38
120,Broken clouds.,39,38
121,Partly cloudy.,39,28
122,No weather data available,,
123,Mostly cloudy.,37,34
124,Scattered showers. Partly sunny.,38,32
125,Partly sunny.,33,27
126,Clear.,35,28
127,Scattered clouds.,35,30
128,Partly cloudy.,38,31
129,Clear.,35,30
