Started On,Status,Delay,Reach Time
"03rd, Jan, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 04th, Jan"
"05th, Jan, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 06th, Jan"
"06th, Jan, 2016 at 12:30 AM",Late,07 Hrs 40 Mins,"03:20 AM on 08th, Jan"
"07th, Jan, 2016 at 05:35 PM",Late,15 Mins,"07:55 PM on 08th, Jan"
"10th, Jan, 2016 at 08:07 PM",Late,03 Hrs 00 Min,"10:40 PM on 11th, Jan"
"12th, Jan, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 13th, Jan"
"14th, Jan, 2016 at 07:25 PM",Late,01 Hr 32 Mins,"09:12 PM on 15th, Jan"
"17th, Jan, 2016 at 05:15 PM",Late,40 Mins,"08:20 PM on 18th, Jan"
"19th, Jan, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 20th, Jan"
"20th, Jan, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 21st, Jan"
"21st, Jan, 2016 at 05:15 PM",Late,12 Mins,"07:52 PM on 23rd, Jan"
"26th, Jan, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 27th, Jan"
"27th, Jan, 2016 at 05:15 PM",On Time,-,"07:40 PM on 29th, Jan"
"28th, Jan, 2016 at 05:30 PM",On Time,-,"07:40 PM on 29th, Jan"
"31st, Jan, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 01st, Feb"
"02nd, Feb, 2016 at 05:15 PM",Late,13 Mins,"07:53 PM on 04th, Feb"
"03rd, Feb, 2016 at 05:21 PM",Late,15 Mins,"07:55 PM on 05th, Feb"
"04th, Feb, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 05th, Feb"
"07th, Feb, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 08th, Feb"
"09th, Feb, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 10th, Feb"
"14th, Feb, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 15th, Feb"
"16th, Feb, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 18th, Feb"
"17th, Feb, 2016 at 08:11 PM",Late,06 Hrs 55 Mins,"02:35 AM on 19th, Feb"
"18th, Feb, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 19th, Feb"
"21st, Feb, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 22nd, Feb"
"23rd, Feb, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 25th, Feb"
"24th, Feb, 2016 at 05:15 PM",Late,02 Hrs 49 Mins,"10:29 PM on 25th, Feb"
"25th, Feb, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 26th, Feb"
"28th, Feb, 2016 at 05:15 PM",Late,03 Hrs 29 Mins,"11:09 PM on 29th, Feb"
"01st, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 02nd, Mar"
"02nd, Mar, 2016 at 05:15 PM",Late,10 Mins,"07:50 PM on 03rd, Mar"
"03rd, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 04th, Mar"
"06th, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 07th, Mar"
"08th, Mar, 2016 at 05:15 PM",Late,05 Mins,"07:45 PM on 09th, Mar"
"09th, Mar, 2016 at 05:15 PM",Late,30 Mins,"08:10 PM on 10th, Mar"
"10th, Mar, 2016 at 05:15 PM",Late,14 Mins,"07:54 PM on 13th, Mar"
"13th, Mar, 2016 at 05:15 PM",Late,55 Mins,"08:35 PM on 14th, Mar"
"15th, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 16th, Mar"
"16th, Mar, 2016 at 05:15 PM",On Time,-,"07:40 PM on 17th, Mar"
"17th, Mar, 2016 at 05:15 PM",Before,-,"07:38 PM on 19th, Mar"
"20th, Mar, 2016 at 05:15 PM",Late,50 Mins,"08:30 PM on 21st, Mar"
"22nd, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 23rd, Mar"
"23rd, Mar, 2016 at 05:15 PM",Before,-,"07:38 PM on 24th, Mar"
"24th, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 25th, Mar"
"27th, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 28th, Mar"
"29th, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 30th, Mar"
"30th, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 01st, Apr"
"31st, Mar, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 01st, Apr"
"03rd, Apr, 2016 at 05:15 PM",Late,15 Mins,"07:55 PM on 04th, Apr"
"05th, Apr, 2016 at 05:15 PM",Before,-,"07:35 PM on 06th, Apr"
