bday,st,eday,MUM,MUM,MUM,DELHI,DELHI,DELHI,delay
2,1060,3,Light rain. Partly sunny.,32,23,Partly cloudy.,18,10,15
3,1060,4,Drizzle. Overcast.,31,22,Broken clouds.,20,20,11
4,1060,5,Light rain. Partly sunny.,32,23,Partly cloudy.,23,12,15
5,1060,6,Light rain. Partly sunny.,31,23,Partly cloudy.,21,12,0
6,1060,7,Light rain. Partly sunny.,32,23,Snow flurries. Passing clouds.,20,14,14
7,1060,8,Rain. Low clouds.,31,23,Partly cloudy.,15,14,145
8,1060,9,Snow showers. Ice fog.,30,23,Partly cloudy.,19,11,15
9,1060,9,Snow showers. Ice fog.,30,23,Partly cloudy.,21,10,0
10,1060,11,Light rain. Partly sunny.,31,22,Partly cloudy.,22,10,14
11,1060,12,Light rain. Partly sunny.,31,23,Partly cloudy.,23,10,0
12,1060,13,Drizzle. Fog.,29,22,Snow flurries. Dense fog.,21,16,15
13,1060,14,Passing clouds.,28,22,Partly cloudy.,16,14,0
14,1060,15,Passing clouds.,27,21,Partly cloudy.,13,12,37
15,1060,16,Drizzle. Fog.,27,21,Partly cloudy.,12,12,5
16,1060,17,Passing clouds.,26,22,Partly cloudy.,16,11,15
17,1060,18,Partly sunny.,27,21,Partly cloudy.,17,8,45
18,1060,19,Drizzle. Fog.,26,21,Partly cloudy.,13,11,32
19,1060,20,Fog.,27,20,Partly cloudy.,12,11,14
20,1060,21,Light rain. Partly sunny.,27,19,Partly cloudy.,12,9,85
21,1060,22,Light rain. Partly sunny.,28,20,Partly cloudy.,14,8,125
22,1060,23,Light rain. Partly sunny.,28,21,Snow flurries. Passing clouds.,17,8,135
23,1060,24,Light snow. Ice fog.,30,21,Partly cloudy.,11,8,100
24,1060,25,Light rain. Partly sunny.,31,23,Partly cloudy.,7,7,40
25,1060,26,Light rain. Partly sunny.,30,21,Partly cloudy.,15,10,88
26,1060,27,Light rain. Partly sunny.,28,19,Partly cloudy.,20,10,15
27,1068,28,Passing clouds.,27,21,Partly cloudy.,20,10,10
28,1060,29,Light rain. Partly sunny.,31,20,Partly cloudy.,22,13,0
29,1060,30,Light snow. Ice fog.,31,23,Thunderstorms. Fog.,23,23,15
30,1060,31,Passing clouds.,31,23,Partly cloudy.,20,16,5
31,1060,32,Passing clouds.,31,23,Clear.,22,20,10
32,1060,33,Partly sunny.,32,23,Sunny.,21,19,0
33,1060,34,Snow. Fog.,32,23,Sunny.,20,20,10
34,1060,35,,31,22,Clear.,23,21,14
35,1060,36,Snow. Fog.,30,21,No weather data available,,,15
36,1060,37,Sunny.,28,21,No weather data available,,,5
37,1060,38,Partly sunny.,26,21,Light snow. Overcast.,21,20,0
38,1060,39,,27,23,Clear.,23,21,41
39,1060,40,Drizzle. Low clouds.,28,20,No weather data available,,,10
40,1060,41,Partly sunny.,29,22,Clear.,26,24,0
41,1060,42,Partly sunny.,29,24,Partly cloudy.,26,24,10
42,1060,43,Partly sunny.,27,23,Partly cloudy.,26,24,10
43,1060,44,Fog.,27,21,Partly cloudy.,21,20,15
44,1060,45,,26,21,Clear.,24,23,15
45,1060,46,Snow. Fog.,29,21,Light snow. Overcast.,23,21,15
46,1060,47,Snow. Fog.,31,22,Sunny.,24,23,15
47,1060,48,Snow. Fog.,30,23,Clear.,24,24,15
48,1060,49,Heavy snow. Ice fog.,30,24,Passing clouds.,23,21,15
49,1060,50,Drizzle. Low clouds.,30,23,Snow showers. Ice fog.,29,27,10
50,1060,51,Partly sunny.,29,25,Fog.,28,26,10
51,1060,52,Fog.,31,25,Clear.,25,25,0
52,1060,52,Fog.,31,26,Partly cloudy.,27,26,0
53,1060,52,Heavy rain. Overcast.,31,25,Partly cloudy.,29,28,0
54,1185,55,Heavy rain. Overcast.,30,23,Rain showers. Fog.,30,28,100
55,1185,56,Partly sunny.,28,23,Partly cloudy.,30,27,205
56,1060,57,Heavy snow. Ice fog.,30,23,Partly cloudy.,30,29,24
57,1115,58,Partly sunny.,30,24,Rain showers. Fog.,30,28,40
58,1060,59,More clouds than sun.,34,24,Rain showers. Fog.,30,27,0
59,1060,60,Heavy snow. Ice fog.,30,26,Rain showers. Fog.,29,29,15
61,1060,62,Rain. Overcast.,34,27,No weather data available,,,0
62,1060,63,Rain. Overcast.,34,28,,30,30,14
63,1060,64,Light rain. Passing clouds.,29,25,Sunny.,26,26,14
64,1060,65,Smoke.,34,26,Scattered clouds.,24,17,14
65,1060,66,,32,25,Overcast.,28,28,15
66,1060,67,Thunderstorms. Fog.,31,25,Overcast.,26,26,0
67,1060,68,Smoke.,33,25,Scattered clouds.,26,19,0
68,1060,69,Scattered clouds.,33,26,Overcast.,28,28,5
69,1060,70,Rain. Overcast.,34,25,Scattered clouds.,28,21,15
70,1060,71,Sunny.,36,26,Scattered clouds.,26,20,10
71,1060,72,Thunderstorms. Fog.,32,26,Overcast.,25,25,5
72,1061,73,Sunny.,30,26,Light snow. Partly cloudy.,24,18,0
73,1060,74,Sunny.,29,24,Sunny.,27,27,10
74,1060,75,Drizzle. Partly sunny.,31,25,,27,27,15
75,1060,76,,31,25,Fog.,30,30,0
76,1060,77,Drizzle. Partly sunny.,30,25,Scattered clouds.,22,22,5
77,1060,78,,31,25,Low clouds.,30,23,5
78,1060,79,Rain. Overcast.,36,27,Scattered clouds.,29,22,15
79,1060,80,Rain. Overcast.,36,28,Light rain. Overcast.,30,23,15
80,1060,81,Rain. Overcast.,37,27,No weather data available,,,15
81,1060,82,Scattered clouds.,33,26,Overcast.,29,21,50
82,1060,83,Rain. Overcast.,37,27,Low clouds.,33,33,15
83,1060,84,,31,27,Low clouds.,33,25,10
84,1060,85,Sunny.,32,27,Fog.,27,27,10
85,1060,86,,32,27,,28,28,0
86,1060,87,Light rain. Broken clouds.,35,28,Partly cloudy.,29,22,10
87,1060,88,Rain. Overcast.,36,28,No weather data available,,,10
88,1060,89,Rain. Overcast.,34,27,No weather data available,,,10
89,1060,90,Smoke.,33,27,No weather data available,,,10
90,1060,91,,33,26,Sprinkles. Low clouds.,37,36,15
91,1068,92,Light rain. More clouds than sun.,32,26,Overcast.,39,37,5
92,1060,93,Low clouds.,31,26,Overcast.,39,37,0
93,1060,94,Low clouds.,31,26,Overcast.,38,37,10
94,1060,95,Mostly cloudy.,31,27,Overcast.,35,34,15
95,1060,96,Frigid.,29,27,Overcast.,36,35,15
96,1060,97,Low clouds.,31,27,Overcast.,35,35,0
97,1060,98,Strong thunderstorms. Overcast.,33,27,Sprinkles. Low clouds.,34,34,15
