hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
1,11,2016,1477958400000,00:00,"Tuesday, 1 November 2016, 00:00 — 06:00",14,Passing clouds.,17,17,1018,0,0,96
1,11,2016,1477980000000,06:00,"Tuesday, 1 November 2016, 06:00 — 12:00",9,Overcast.,28,18,1018,3,270,66
1,11,2016,1478001600000,12:00,"Tuesday, 1 November 2016, 12:00 — 18:00",1,Clear.,30,27,1014,3,20,43
1,11,2016,1478023200000,18:00,"Tuesday, 1 November 2016, 18:00 — 00:00",14,Overcast.,21,19,1016,0,0,81
2,11,2016,1478044800000,00:00,"Wednesday, 2 November 2016, 00:00 — 06:00",14,Overcast.,17,17,1016,0,0,89
2,11,2016,1478066400000,06:00,"Wednesday, 2 November 2016, 06:00 — 12:00",9,Duststorm.,26,18,1017,0,0,80
2,11,2016,1478088000000,12:00,"Wednesday, 2 November 2016, 12:00 — 18:00",1,Clear.,30,30,1014,4,0,43
2,11,2016,1478109600000,18:00,"Wednesday, 2 November 2016, 18:00 — 00:00",14,Overcast.,21,19,1016,0,0,86
3,11,2016,1478131200000,00:00,"Thursday, 3 November 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
3,11,2016,1478152800000,06:00,"Thursday, 3 November 2016, 06:00 — 12:00",36,No weather data available,,,0,0,0,0
3,11,2016,1478174400000,12:00,"Thursday, 3 November 2016, 12:00 — 18:00",1,Frigid.,32,28,1014,0,0,46
3,11,2016,1478196000000,18:00,"Thursday, 3 November 2016, 18:00 — 00:00",14,Overcast.,22,19,1015,0,0,85
4,11,2016,1478217600000,00:00,"Friday, 4 November 2016, 00:00 — 06:00",14,Passing clouds.,17,16,1015,0,0,98
4,11,2016,1478239200000,06:00,"Friday, 4 November 2016, 06:00 — 12:00",9,Overcast.,28,18,1014,0,0,64
4,11,2016,1478260800000,12:00,"Friday, 4 November 2016, 12:00 — 18:00",1,Clear.,31,27,1010,8,270,46
4,11,2016,1478282400000,18:00,"Friday, 4 November 2016, 18:00 — 00:00",14,Overcast.,21,19,1011,0,0,86
5,11,2016,1478304000000,00:00,"Saturday, 5 November 2016, 00:00 — 06:00",14,Passing clouds.,17,16,1011,0,0,98
5,11,2016,1478325600000,06:00,"Saturday, 5 November 2016, 06:00 — 12:00",9,Overcast.,24,18,1012,7,230,74
5,11,2016,1478347200000,12:00,"Saturday, 5 November 2016, 12:00 — 18:00",1,Clear.,29,26,1008,5,290,54
