hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
305,11,2016,1477958400000,00:00,"Tuesday, 1 November 2016, 00:00 — 06:00",14,Passing clouds.,17,17,1018,0,0,96
305,11,2016,1477980000000,06:00,"Tuesday, 1 November 2016, 06:00 — 12:00",9,Overcast.,28,18,1018,3,270,66
305,11,2016,1478001600000,12:00,"Tuesday, 1 November 2016, 12:00 — 18:00",1,Clear.,30,27,1014,3,20,43
305,11,2016,1478023200000,18:00,"Tuesday, 1 November 2016, 18:00 — 00:00",14,Overcast.,21,19,1016,0,0,81
306,11,2016,1478044800000,00:00,"Wednesday, 2 November 2016, 00:00 — 06:00",14,Overcast.,17,17,1016,0,0,89
306,11,2016,1478066400000,06:00,"Wednesday, 2 November 2016, 06:00 — 12:00",9,Duststorm.,26,18,1017,0,0,80
306,11,2016,1478088000000,12:00,"Wednesday, 2 November 2016, 12:00 — 18:00",1,Clear.,30,30,1014,4,0,43
306,11,2016,1478109600000,18:00,"Wednesday, 2 November 2016, 18:00 — 00:00",14,Overcast.,21,19,1016,0,0,86
307,11,2016,1478131200000,00:00,"Thursday, 3 November 2016, 00:00 — 06:00",36,No weather data available,,,0,0,0,0
307,11,2016,1478152800000,06:00,"Thursday, 3 November 2016, 06:00 — 12:00",36,No weather data available,,,0,0,0,0
307,11,2016,1478174400000,12:00,"Thursday, 3 November 2016, 12:00 — 18:00",1,Frigid.,32,28,1014,0,0,46
307,11,2016,1478196000000,18:00,"Thursday, 3 November 2016, 18:00 — 00:00",14,Overcast.,22,19,1015,0,0,85
308,11,2016,1478217600000,00:00,"Friday, 4 November 2016, 00:00 — 06:00",14,Passing clouds.,17,16,1015,0,0,98
308,11,2016,1478239200000,06:00,"Friday, 4 November 2016, 06:00 — 12:00",9,Overcast.,28,18,1014,0,0,64
308,11,2016,1478260800000,12:00,"Friday, 4 November 2016, 12:00 — 18:00",1,Clear.,31,27,1010,8,270,46
308,11,2016,1478282400000,18:00,"Friday, 4 November 2016, 18:00 — 00:00",14,Overcast.,21,19,1011,0,0,86
309,11,2016,1478304000000,00:00,"Saturday, 5 November 2016, 00:00 — 06:00",14,Passing clouds.,17,16,1011,0,0,98
309,11,2016,1478325600000,06:00,"Saturday, 5 November 2016, 06:00 — 12:00",9,Overcast.,24,18,1012,7,230,74
309,11,2016,1478347200000,12:00,"Saturday, 5 November 2016, 12:00 — 18:00",1,Clear.,29,26,1008,5,290,54
309,11,2016,1478368800000,18:00,"Saturday, 5 November 2016, 18:00 — 00:00",14,Overcast.,20,18,1010,0,0,89
310,11,2016,1478390400000,00:00,"Sunday, 6 November 2016, 00:00 — 06:00",14,Passing clouds.,17,15,1010,0,0,94
310,11,2016,1478412000000,06:00,"Sunday, 6 November 2016, 06:00 — 12:00",9,Passing clouds.,24,15,1012,3,270,76
310,11,2016,1478433600000,12:00,"Sunday, 6 November 2016, 12:00 — 18:00",1,Clear.,30,27,1010,5,270,42
310,11,2016,1478455200000,18:00,"Sunday, 6 November 2016, 18:00 — 00:00",14,Overcast.,20,18,1012,0,0,88
311,11,2016,1478476800000,00:00,"Monday, 7 November 2016, 00:00 — 06:00",14,Passing clouds.,16,16,1012,0,0,95
311,11,2016,1478498400000,06:00,"Monday, 7 November 2016, 06:00 — 12:00",9,Passing clouds.,26,16,1014,5,290,69
311,11,2016,1478520000000,12:00,"Monday, 7 November 2016, 12:00 — 18:00",1,Clear.,29,25,1011,9,290,44
311,11,2016,1478541600000,18:00,"Monday, 7 November 2016, 18:00 — 00:00",13,Clear.,21,20,1013,7,270,62
312,11,2016,1478563200000,00:00,"Tuesday, 8 November 2016, 00:00 — 06:00",13,Clear.,19,18,1012,8,270,74
312,11,2016,1478584800000,06:00,"Tuesday, 8 November 2016, 06:00 — 12:00",9,Overcast.,25,18,507,17,250,63
312,11,2016,1478606400000,12:00,"Tuesday, 8 November 2016, 12:00 — 18:00",1,Clear.,29,26,1012,12,290,41
312,11,2016,1478628000000,18:00,"Tuesday, 8 November 2016, 18:00 — 00:00",13,Clear.,19,17,1014,6,270,73
313,11,2016,1478649600000,00:00,"Wednesday, 9 November 2016, 00:00 — 06:00",14,Passing clouds.,16,14,1014,0,0,80
313,11,2016,1478671200000,06:00,"Wednesday, 9 November 2016, 06:00 — 12:00",9,Passing clouds.,26,14,1016,8,230,58
313,11,2016,1478692800000,12:00,"Wednesday, 9 November 2016, 12:00 — 18:00",1,Clear.,29,26,1013,7,290,40
313,11,2016,1478714400000,18:00,"Wednesday, 9 November 2016, 18:00 — 00:00",13,Clear.,18,16,1015,0,0,76
314,11,2016,1478736000000,00:00,"Thursday, 10 November 2016, 00:00 — 06:00",14,Passing clouds.,14,14,1015,0,0,84
314,11,2016,1478757600000,06:00,"Thursday, 10 November 2016, 06:00 — 12:00",1,Snow flurries. Partly cloudy.,27,15,1015,6,230,52
314,11,2016,1478779200000,12:00,"Thursday, 10 November 2016, 12:00 — 18:00",1,Clear.,30,26,1012,2,20,44
