bday,st,delay,et,eday
2,1060,15,670,3
3,1060,11,666,4
4,1060,15,670,5
5,1060,0,650,6
6,1060,14,669,7
7,1060,145,800,8
8,1060,15,670,9
9,1060,0,655,9
10,1060,14,669,11
11,1060,0,645,12
12,1060,15,670,13
13,1060,0,655,14
14,1060,37,692,15
15,1060,5,660,16
16,1060,15,670,17
17,1060,45,700,18
18,1060,32,687,19
19,1060,14,669,20
20,1060,85,1460,21
21,1060,125,780,22
22,1060,135,790,23
23,1060,100,1475,24
24,1060,40,695,25
25,1060,88,1463,26
26,1060,15,670,27
27,1068,10,665,28
28,1060,0,647,29
29,1060,15,670,30
30,1060,5,660,31
31,1060,10,665,32
32,1060,0,650,33
33,1060,10,665,34
34,1060,14,669,35
35,1060,15,670,36
36,1060,5,660,37
37,1060,0,655,38
38,1060,41,696,39
39,1060,10,665,40
40,1060,0,655,41
41,1060,10,665,42
42,1060,10,665,43
43,1060,15,670,44
44,1060,15,670,45
45,1060,15,670,46
46,1060,15,670,47
47,1060,15,670,48
48,1060,15,670,49
49,1060,10,665,50
50,1060,10,665,51
51,1060,0,655,52
52,1060,0,655,52
53,1060,0,655,52
54,1185,100,1475,55
55,1185,205,860,56
56,1060,24,679,57
57,1115,40,695,58
58,1060,0,650,59
59,1060,15,670,60
60,1060,0,650,60
60,1072,10,665,61
61,1060,0,654,62
62,1060,14,669,63
63,1060,14,669,64
64,1060,14,669,65
65,1060,15,670,66
66,1060,0,650,67
67,1060,0,648,68
68,1060,5,660,69
69,1060,15,670,70
70,1060,10,665,71
71,1060,5,660,72
72,1061,0,652,73
73,1060,10,665,74
74,1060,15,670,75
75,1060,0,650,76
76,1060,5,660,77
77,1060,5,660,78
78,1060,15,670,79
79,1060,15,670,80
80,1060,15,670,81
81,1060,50,705,82
82,1060,15,670,83
83,1060,10,665,84
84,1060,10,665,85
85,1060,0,650,86
86,1060,10,665,87
87,1060,10,665,88
88,1060,10,665,89
89,1060,10,665,90
90,1060,15,670,91
91,1068,5,660,92
92,1060,0,655,93
93,1060,10,665,94
94,1060,15,670,95
95,1060,15,670,96
96,1060,0,655,97
97,1060,15,670,98
98,1060,15,670,99
99,1060,5,660,100
100,1060,10,665,101
101,1060,15,670,102
102,1060,0,645,103
103,1060,15,670,104
104,1060,0,655,105
105,1060,10,665,106
106,1060,0,655,108
107,1060,15,670,108
108,1060,0,655,109
109,1060,5,660,110
110,1060,0,655,111
111,1060,15,670,112
112,1060,0,650,113
113,1060,0,650,114
114,1060,5,660,115
115,1060,0,650,116
116,1060,15,670,117
117,1060,5,660,118
118,1060,0,655,119
119,1060,14,669,120
120,1060,50,705,121
121,1060,0,650,122
122,1060,15,670,123
123,1060,5,660,124
124,1060,5,660,125
125,1060,10,665,126
126,1060,15,670,127
127,1060,15,670,128
128,1060,15,670,130
129,1060,15,670,130
130,1060,5,660,131
131,1060,10,665,132
132,1060,10,665,133
133,1060,10,665,134
134,1060,5,660,135
135,1060,15,670,136
136,1060,15,670,137
137,1060,15,670,138
138,1060,10,665,139
139,1060,15,670,140
140,1060,14,669,141
141,1060,0,650,142
142,1060,15,670,143
143,1060,55,710,144
144,1060,10,665,145
145,1060,15,670,146
146,1060,15,670,147
147,1060,15,670,148
148,1060,0,645,149
149,1060,10,665,150
150,1060,14,669,151
151,1060,0,655,152
152,1060,0,655,153
153,1060,0,655,154
154,1060,15,670,155
155,1060,0,650,156
156,1060,0,645,157
157,1060,0,650,158
158,1060,10,665,159
159,1060,0,650,160
160,1060,0,655,161
161,1060,10,665,162
162,1060,0,650,163
163,1060,0,650,164
164,1060,0,635,165
165,1060,0,630,166
166,1060,10,665,167
167,1060,0,655,168
169,1060,0,650,170
170,1060,5,660,171
171,1060,90,1465,172
172,1060,0,650,173
173,1060,15,670,174
174,1060,12,667,176
175,1060,0,648,176
176,1060,0,645,177
177,1060,50,705,178
178,1060,14,669,180
179,1060,120,1495,180
180,1060,15,670,181
181,1075,15,670,184
182,1060,15,670,183
183,1060,0,654,184
184,1060,15,670,185
185,1170,235,890,186
186,1060,0,655,187
187,1060,0,655,188
188,1060,0,645,189
189,1060,0,650,190
190,1060,0,645,191
191,1060,5,660,192
192,1060,0,645,193
194,1060,15,670,195
195,1060,0,650,196
196,1060,105,1480,199
197,1060,149,804,198
198,1060,14,669,199
199,1060,45,700,200
200,1060,0,650,201
201,1077,15,670,204
202,1060,0,650,203
203,1060,0,640,204
204,1060,15,670,205
205,1060,0,653,206
206,1060,0,645,207
207,1060,15,670,208
208,1060,15,670,209
209,1060,0,655,210
210,1060,15,670,211
211,1060,5,660,212
212,1060,0,645,213
214,1120,32,687,215
215,1060,15,670,216
216,1060,0,650,217
217,1060,0,655,218
218,1060,0,648,219
219,1060,0,655,220
220,1060,0,655,221
221,1060,0,645,222
222,1060,10,665,223
223,1060,10,665,224
224,1060,10,665,225
225,1060,5,660,226
226,1060,15,670,227
227,1060,0,645,228
228,1060,5,660,229
229,1060,15,670,230
230,1060,14,669,231
231,1060,14,669,232
232,1060,0,650,233
233,1060,15,670,234
234,1060,0,645,236
235,1060,15,670,236
236,1060,0,650,237
237,1060,5,660,238
238,1060,10,665,239
239,1060,5,660,240
240,1060,0,645,241
241,1060,0,655,242
242,1060,15,670,243
243,1060,15,670,244
244,1060,25,680,245
245,1060,0,655,247
246,1060,0,635,247
247,1060,0,650,248
248,1060,0,650,249
250,1060,0,645,251
251,1060,0,655,252
252,1060,15,670,253
253,1060,40,695,254
254,1060,15,670,255
255,1060,0,655,256
256,1060,15,670,257
258,1060,0,645,259
259,1060,0,650,260
260,1060,0,650,261
261,1060,0,655,262
262,1060,0,655,263
263,1060,0,650,264
264,1060,5,660,265
265,1060,15,670,266
266,1060,0,655,267
267,1060,5,660,268
268,1060,15,670,269
269,1060,15,670,270
270,1060,10,665,271
271,1060,0,655,272
272,1060,15,670,273
273,1060,0,650,274
274,1060,15,670,275
275,1060,10,665,276
276,1060,0,650,277
277,1060,0,650,278
278,1060,10,665,279
279,1060,15,670,280
280,1060,15,670,283
281,1060,0,650,282
283,1060,0,650,284
284,1060,0,640,285
285,1060,5,660,286
286,1060,0,645,287
287,1060,0,645,288
288,1060,15,670,289
289,1060,15,670,290
290,1060,15,670,291
291,1060,0,645,292
292,1060,0,655,293
293,1060,15,670,294
294,1060,15,670,295
295,1060,5,660,297
296,1060,0,647,297
297,1060,10,665,298
298,1060,15,670,299
299,1060,15,670,300
300,1060,0,655,301
301,1060,10,665,302
302,1060,0,640,303
303,1060,0,655,304
304,1060,0,655,305
305,1060,0,653,306
306,1060,0,655,307
307,1060,10,665,308
308,1060,15,670,309
309,1060,15,670,310
310,1060,15,670,311
312,1060,15,670,313
313,1060,15,670,314
314,1060,15,670,316
315,1060,15,670,316
316,1060,0,655,317
317,1060,14,669,318
318,1060,0,650,319
321,1060,15,670,322
322,1060,14,669,323
323,1060,5,660,324
324,1060,15,670,325
325,1060,0,650,326
326,1060,0,646,327
327,1060,35,690,328
328,1060,5,660,329
330,1060,0,655,332
331,1060,10,665,334
332,1060,10,665,334
333,1060,180,835,335
334,1060,160,815,335
335,1060,235,890,336
336,1060,48,703,337
337,1060,15,670,338
338,1060,0,655,339
339,1060,15,670,340
340,1060,145,800,341
341,1060,175,830,342
342,1060,134,789,343
343,1060,130,785,344
344,1060,25,680,346
345,1060,15,670,346
346,1060,15,670,348
347,1060,15,670,348
348,1060,15,670,349
349,1060,14,669,350
350,1060,15,670,351
351,1060,15,670,354
352,1060,8,663,353
353,1060,15,670,354
354,1060,15,670,355
355,1060,15,670,356
356,1060,0,645,357
357,1060,66,1441,358
358,1060,10,665,359
359,1060,5,660,360
360,1060,0,645,361
361,1060,10,665,362
362,1060,80,1455,363
363,1060,155,810,364
364,1060,120,1495,365
365,1060,93,1468,1
