date,weather,tempHigh,tempLow
213,Heavy rain. Overcast.,28,25
214,Light rain. Partly cloudy.,28,27
215,Light rain. Partly cloudy.,29,28
216,Passing clouds.,30,26
217,Scattered showers. Overcast.,27,25
218,Light rain. Partly cloudy.,29,27
219,Passing clouds.,29,27
220,Passing clouds.,29,28
221,Passing clouds.,30,27
222,Passing clouds.,30,27
223,Passing clouds.,29,27
224,Passing clouds.,29,28
225,Quite cool.,29,28
226,Passing clouds.,29,27
227,Passing clouds.,30,28
228,Passing clouds.,30,28
229,Passing clouds.,30,27
230,Passing clouds.,30,28
231,Passing clouds.,30,27
232,Passing clouds.,30,28
233,Passing clouds.,30,28
234,Passing clouds.,29,27
235,Passing clouds.,28,25
236,Passing clouds.,29,26
237,Passing clouds.,30,28
238,Passing clouds.,28,26
239,Heavy rain. Overcast.,26,24
240,Heavy rain. Overcast.,27,25
241,Light rain. Partly cloudy.,29,27
242,Passing clouds.,29,27
243,Quite cool.,30,27
