hl,hls,hlsh,date,ts,ds,icon,desc,temp,templow,baro,wind,wd,hum
true,"Mon, 1 Feb",1 Feb,1454284800000,00:00,"Monday, 1 2 2016, 00:00 — 06:00",14,Sunny.,26,23,1014,5,350,72
,,,1454306400000,06:00,"Monday, 1 2 2016, 06:00 — 12:00",3,Partly sunny.,32,23,1015,2,350,59
,,,1454328000000,12:00,"Monday, 1 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,32,29,1013,14,260,43
,,,1454349600000,18:00,"Monday, 1 2 2016, 18:00 — 00:00",13,Drizzle. Low clouds.,29,26,1015,10,320,50
true,"Tue, 2 Feb",2 Feb,1454371200000,00:00,"Tuesday, 2 2 2016, 00:00 — 06:00",13,Partly cloudy.,26,23,1015,7,320,58
,,,1454392800000,06:00,"Tuesday, 2 2 2016, 06:00 — 12:00",1,Snow. Fog.,32,23,1016,6,30,49
,,,1454414400000,12:00,"Tuesday, 2 2 2016, 12:00 — 18:00",1,More clouds than sun.,33,30,1013,14,320,36
,,,1454436000000,18:00,"Tuesday, 2 2 2016, 18:00 — 00:00",14,Partly sunny.,30,24,1014,8,310,55
true,"Wed, 3 Feb",3 Feb,1454457600000,00:00,"Wednesday, 3 2 2016, 00:00 — 06:00",13,Partly cloudy.,24,22,1014,2,40,61
,,,1454479200000,06:00,"Wednesday, 3 2 2016, 06:00 — 12:00",2,,31,22,1015,4,20,48
,,,1454500800000,12:00,"Wednesday, 3 2 2016, 12:00 — 18:00",1,Snow. Fog.,32,29,1013,13,300,32
,,,1454522400000,18:00,"Wednesday, 3 2 2016, 18:00 — 00:00",14,,29,23,1014,11,340,45
true,"Thu, 4 Feb",4 Feb,1454544000000,00:00,"Thursday, 4 2 2016, 00:00 — 06:00",14,Sunny.,24,21,1014,2,340,59
,,,1454565600000,06:00,"Thursday, 4 2 2016, 06:00 — 12:00",1,Snow. Fog.,30,21,1015,6,120,48
,,,1454587200000,12:00,"Thursday, 4 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,30,27,1012,17,280,41
,,,1454608800000,18:00,"Thursday, 4 2 2016, 18:00 — 00:00",13,Partly cloudy.,27,24,1013,7,310,57
true,"Fri, 5 Feb",5 Feb,1454630400000,00:00,"Friday, 5 2 2016, 00:00 — 06:00",14,Sunny.,24,21,1012,2,30,71
,,,1454652000000,06:00,"Friday, 5 2 2016, 06:00 — 12:00",3,Sunny.,28,21,1014,9,110,68
,,,1454673600000,12:00,"Friday, 5 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,28,27,1012,15,260,57
,,,1454695200000,18:00,"Friday, 5 2 2016, 18:00 — 00:00",14,Sunny.,24,23,1013,3,270,79
true,"Sat, 6 Feb",6 Feb,1454716800000,00:00,"Saturday, 6 2 2016, 00:00 — 06:00",14,Partly sunny.,23,21,1011,3,200,82
,,,1454738400000,06:00,"Saturday, 6 2 2016, 06:00 — 12:00",9,Partly sunny.,26,21,1012,7,120,75
,,,1454760000000,12:00,"Saturday, 6 2 2016, 12:00 — 18:00",1,Snow. Fog.,27,25,1011,15,270,46
,,,1454781600000,18:00,"Saturday, 6 2 2016, 18:00 — 00:00",13,Partly cloudy.,25,23,1013,10,310,54
true,"Sun, 7 Feb",7 Feb,1454803200000,00:00,"Sunday, 7 2 2016, 00:00 — 06:00",14,Sunny.,24,23,1014,4,330,65
,,,1454824800000,06:00,"Sunday, 7 2 2016, 06:00 — 12:00",2,,27,23,1017,10,70,56
,,,1454846400000,12:00,"Sunday, 7 2 2016, 12:00 — 18:00",2,,28,25,1014,16,290,52
,,,1454868000000,18:00,"Sunday, 7 2 2016, 18:00 — 00:00",14,Sunny.,25,22,1015,10,320,64
true,"Mon, 8 Feb",8 Feb,1454889600000,00:00,"Monday, 8 2 2016, 00:00 — 06:00",14,Sunny.,22,20,1014,2,30,72
,,,1454911200000,06:00,"Monday, 8 2 2016, 06:00 — 12:00",1,Drizzle. Low clouds.,28,20,1015,6,150,59
,,,1454932800000,12:00,"Monday, 8 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,29,27,1012,16,280,51
,,,1454954400000,18:00,"Monday, 8 2 2016, 18:00 — 00:00",14,Sunny.,27,24,1013,9,350,65
true,"Tue, 9 Feb",9 Feb,1454976000000,00:00,"Tuesday, 9 2 2016, 00:00 — 06:00",14,Sunny.,24,22,1012,2,0,77
,,,1454997600000,06:00,"Tuesday, 9 2 2016, 06:00 — 12:00",3,Partly sunny.,29,22,1013,7,30,69
,,,1455019200000,12:00,"Tuesday, 9 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,30,28,1011,16,270,50
,,,1455040800000,18:00,"Tuesday, 9 2 2016, 18:00 — 00:00",14,Heavy snow. Ice fog.,28,25,1012,9,260,64
true,"Wed, 10 Feb",10 Feb,1455062400000,00:00,"Wednesday, 10 2 2016, 00:00 — 06:00",14,Partly sunny.,25,23,1011,2,200,78
,,,1455084000000,06:00,"Wednesday, 10 2 2016, 06:00 — 12:00",9,Partly sunny.,29,24,1014,6,200,62
,,,1455105600000,12:00,"Wednesday, 10 2 2016, 12:00 — 18:00",2,Heavy rain. Overcast.,30,29,1011,14,260,33
,,,1455127200000,18:00,"Wednesday, 10 2 2016, 18:00 — 00:00",14,Partly sunny.,29,25,1012,11,260,63
true,"Thu, 11 Feb",11 Feb,1455148800000,00:00,"Thursday, 11 2 2016, 00:00 — 06:00",14,Sunny.,25,23,1011,9,270,82
,,,1455170400000,06:00,"Thursday, 11 2 2016, 06:00 — 12:00",3,Partly sunny.,27,23,1013,9,50,66
,,,1455192000000,12:00,"Thursday, 11 2 2016, 12:00 — 18:00",2,,27,25,1012,18,280,60
,,,1455213600000,18:00,"Thursday, 11 2 2016, 18:00 — 00:00",14,Sunny.,25,23,1013,9,300,70
true,"Fri, 12 Feb",12 Feb,1455235200000,00:00,"Friday, 12 2 2016, 00:00 — 06:00",14,Partly sunny.,23,21,1013,6,50,81
,,,1455256800000,06:00,"Friday, 12 2 2016, 06:00 — 12:00",2,Fog.,27,21,1014,9,40,70
,,,1455278400000,12:00,"Friday, 12 2 2016, 12:00 — 18:00",2,,27,25,1012,17,280,52
,,,1455300000000,18:00,"Friday, 12 2 2016, 18:00 — 00:00",14,Sunny.,25,23,1014,12,330,63
true,"Sat, 13 Feb",13 Feb,1455321600000,00:00,"Saturday, 13 2 2016, 00:00 — 06:00",14,Sunny.,23,21,1014,4,0,69
,,,1455343200000,06:00,"Saturday, 13 2 2016, 06:00 — 12:00",2,,26,21,1015,10,60,63
,,,1455364800000,12:00,"Saturday, 13 2 2016, 12:00 — 18:00",1,Drizzle. Low clouds.,28,26,1013,15,310,51
,,,1455386400000,18:00,"Saturday, 13 2 2016, 18:00 — 00:00",14,Sunny.,26,24,1014,12,310,58
true,"Sun, 14 Feb",14 Feb,1455408000000,00:00,"Sunday, 14 2 2016, 00:00 — 06:00",14,Sunny.,24,21,1013,7,340,69
,,,1455429600000,06:00,"Sunday, 14 2 2016, 06:00 — 12:00",1,Snow. Fog.,29,21,1014,4,50,58
,,,1455451200000,12:00,"Sunday, 14 2 2016, 12:00 — 18:00",1,Snow. Fog.,30,27,1011,19,320,32
,,,1455472800000,18:00,"Sunday, 14 2 2016, 18:00 — 00:00",14,Heavy rain. Overcast.,27,25,1013,13,330,31
true,"Mon, 15 Feb",15 Feb,1455494400000,00:00,"Monday, 15 2 2016, 00:00 — 06:00",14,More clouds than sun.,25,22,1013,5,0,40
,,,1455516000000,06:00,"Monday, 15 2 2016, 06:00 — 12:00",1,Snow. Fog.,31,22,1014,4,250,41
,,,1455537600000,12:00,"Monday, 15 2 2016, 12:00 — 18:00",1,Snow. Fog.,31,28,1012,16,280,35
,,,1455559200000,18:00,"Monday, 15 2 2016, 18:00 — 00:00",14,,28,25,1013,10,320,44
true,"Tue, 16 Feb",16 Feb,1455580800000,00:00,"Tuesday, 16 2 2016, 00:00 — 06:00",14,More clouds than sun.,25,23,1013,7,10,56
